
Year,School,G,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Bowl,Notes
2004,Florida,1,0,1,0,.000,9.58,2.67,11,11,,Peach Bowl-L,
2010,Louisville,13,7,6,0,.538,2.71,-1.45,,,,Beef O'Brady's Bowl-W,
2011,Louisville,13,7,6,0,.538,2.38,0.07,,,,Belk Bowl-L,
2012,Louisville,13,11,2,0,.846,5.88,-1.96,25,11,13,Sugar Bowl-W,
2013,Louisville,13,12,1,0,.923,9.99,-5.85,9,7,15,Russell Athletic Bowl-W,
2014,Texas,13,6,7,0,.462,3.98,5.29,,,,Texas Bowl-L,
2015,Texas,10,4,6,0,.400,1.15,5.65,,,,,
,Overall,76,47,29,0,.618,5.10,0.63,,,,,
,Florida,1,0,1,0,.000,9.58,2.67,,,,,
,Louisville,52,37,15,0,.712,5.24,-2.30,,,,,
,Texas,23,10,13,0,.435,2.56,5.47,,,,,
